2026-04-18 21:44:42 [INFO    ] maid | _load_token:124 | App token: 2940df12...
2026-04-19 00:17:11 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:17:41 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:18:12 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:18:42 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:19:08 [DEBUG   ] maid | _req_log:1845 | HTTP 200 DELETE /api/scene_summary
2026-04-19 00:19:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/state/reset
2026-04-19 00:19:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:19:17 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/memory/clear
2026-04-19 00:19:31 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/ltm
2026-04-19 00:19:35 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/tasks
2026-04-19 00:19:36 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/reflections
2026-04-19 00:19:37 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /config
2026-04-19 00:19:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:20:05 [INFO    ] maid | chat:1889 | Chat uid=master intent=greeting mode=default
2026-04-19 00:20:05 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-19 00:20:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:20:37 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.50 att=0.32
2026-04-19 00:20:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:20:58 [INFO    ] maid | chat:1889 | Chat uid=master intent=question mode=default
2026-04-19 00:20:58 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-19 00:21:10 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.56 att=0.34
2026-04-19 00:21:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:21:37 [INFO    ] maid | chat:1889 | Chat uid=master intent=other mode=default
2026-04-19 00:21:37 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-19 00:21:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:21:47 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.56 att=0.36
2026-04-19 00:22:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:22:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:22:56 [INFO    ] maid | chat:1889 | Chat uid=master intent=other mode=default
2026-04-19 00:22:56 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-19 00:23:06 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.56 att=0.38
2026-04-19 00:23:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:23:27 [INFO    ] maid | chat:1889 | Chat uid=master intent=other mode=default
2026-04-19 00:23:27 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-19 00:23:38 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.56 att=0.40
2026-04-19 00:23:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:23:57 [INFO    ] maid | chat:1889 | Chat uid=master intent=other mode=default
2026-04-19 00:23:57 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-19 00:24:04 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.62 att=0.42
2026-04-19 00:24:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:24:26 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/ltm
2026-04-19 00:24:28 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/tasks
2026-04-19 00:24:29 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/reflections
2026-04-19 00:24:30 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /config
2026-04-19 00:24:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:25:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:25:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:26:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:26:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:27:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:27:43 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:28:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:28:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:29:14 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:29:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:30:14 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:30:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:31:14 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:31:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:32:14 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:32:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:33:14 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:33:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:34:14 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:34:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:35:14 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:35:15 [INFO    ] maid | _lifespan:1813 | Digital Human v9.0 stopped
2026-04-19 00:35:53 [INFO    ] maid | _load_token:124 | App token: 2940df12...
2026-04-19 00:35:53 [INFO    ] maid | init_db:369 | DB init: C:\Ai\DigitalHuman_v8\memory.db
2026-04-19 00:35:53 [INFO    ] maid | init_db:386 | DB ready
2026-04-19 00:35:53 [INFO    ] maid | _lifespan:1811 | Digital Human v9.0 started
2026-04-19 00:36:16 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:36:23 [INFO    ] maid | get_embedder:899 | Loading embedding model: intfloat/multilingual-e5-large (threads=8) -- first run may download ~1 GB
2026-04-19 00:36:26 [INFO    ] maid | get_embedder:906 | Embedding model ready: dim=1024
2026-04-19 00:36:46 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:37:16 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:37:46 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:38:16 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/token
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /favicon.ico
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/status
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/users
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/users
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /memory
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /stats
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/ltm
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/scene_summary
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/rp_scene
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/topics
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /config
2026-04-19 00:38:24 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/token
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /favicon.ico
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/status
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/users
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/users
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /memory
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /stats
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/ltm
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/scene_summary
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/rp_scene
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/topics
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /config
2026-04-19 00:38:26 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/token
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /favicon.ico
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/status
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/users
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/users
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /memory
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /stats
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/ltm
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/scene_summary
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/rp_scene
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /api/topics
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /config
2026-04-19 00:38:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:38:45 [DEBUG   ] maid | _req_log:1867 | HTTP 200 DELETE /api/scene_summary
2026-04-19 00:38:51 [DEBUG   ] maid | _req_log:1867 | HTTP 200 POST /api/state/reset
2026-04-19 00:38:55 [DEBUG   ] maid | _req_log:1867 | HTTP 200 POST /api/memory/clear
2026-04-19 00:38:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:39:13 [INFO    ] maid | chat:1911 | Chat uid=master intent=greeting mode=default
2026-04-19 00:39:13 [DEBUG   ] maid | _req_log:1867 | HTTP 200 POST /api/chat
2026-04-19 00:39:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:39:48 [DEBUG   ] maid | update_state:634 | State uid=master mood=0.50 att=0.32
2026-04-19 00:39:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:40:21 [INFO    ] maid | chat:1911 | Chat uid=master intent=question mode=default
2026-04-19 00:40:21 [DEBUG   ] maid | _req_log:1867 | HTTP 200 POST /api/chat
2026-04-19 00:40:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:40:38 [DEBUG   ] maid | update_state:634 | State uid=master mood=0.56 att=0.34
2026-04-19 00:40:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:41:01 [INFO    ] maid | chat:1911 | Chat uid=master intent=other mode=default
2026-04-19 00:41:01 [DEBUG   ] maid | _req_log:1867 | HTTP 200 POST /api/chat
2026-04-19 00:41:14 [DEBUG   ] maid | update_state:634 | State uid=master mood=0.56 att=0.36
2026-04-19 00:41:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:41:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:42:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:42:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:43:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:43:39 [INFO    ] maid | chat:1911 | Chat uid=master intent=question mode=default
2026-04-19 00:43:39 [DEBUG   ] maid | _req_log:1867 | HTTP 200 POST /api/chat
2026-04-19 00:43:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:44:01 [DEBUG   ] maid | update_state:634 | State uid=master mood=0.68 att=0.38
2026-04-19 00:44:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:44:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:45:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:45:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:46:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:46:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:47:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:47:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:48:27 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:48:57 [DEBUG   ] maid | _req_log:1867 | HTTP 200 GET /health
2026-04-19 00:49:00 [INFO    ] maid | chat:1911 | Chat uid=master intent=other mode=default
